surname	frequency	cumulative_frequency	rank
Peters	0.052	25.04	197
Kelley	0.052	25.092	198
Franklin	0.051	25.143	199
Lawson	0.051	25.195	200
Fields	0.051	25.246	201
Gutierrez	0.051	25.297	202
Ryan	0.051	25.348	203
Schmidt	0.051	25.4	204
Carr	0.051	25.451	205
Vasquez	0.051	25.502	206
Castillo	0.051	25.552	207
Wheeler	0.051	25.603	208
Chapman	0.05	25.653	209
Oliver	0.05	25.703	210
Montgomery	0.049	25.753	211
Richards	0.049	25.802	212
Williamson	0.049	25.851	213
Johnston	0.049	25.9	214
Banks	0.048	25.948	215
Meyer	0.048	25.996	216
Bishop	0.048	26.045	217
Mccoy	0.048	26.093	218
Howell	0.048	26.14	219
Alvarez	0.048	26.188	220
Morrison	0.048	26.235	221
Hansen	0.047	26.283	222
Fernandez	0.047	26.33	223
Garza	0.047	26.377	224
Harvey	0.047	26.424	225
Little	0.046	26.47	226
Burton	0.046	26.516	227
Stanley	0.046	26.562	228
Nguyen	0.046	26.608	229
George	0.046	26.653	230
Jacobs	0.046	26.699	231
Reid	0.046	26.745	232
Kim	0.045	26.79	233
Fuller	0.045	26.835	234
Lynch	0.045	26.88	235
Dean	0.045	26.925	236
Gilbert	0.045	26.97	237
Garrett	0.045	27.015	238
Romero	0.045	27.059	239
Welch	0.044	27.104	240
Larson	0.044	27.148	241
Frazier	0.044	27.192	242
Burke	0.044	27.235	243
Hanson	0.043	27.279	244
Day	0.043	27.322	245
Mendoza	0.043	27.365	246
Moreno	0.043	27.407	247
Bowman	0.043	27.45	248
Medina	0.042	27.492	249
Fowler	0.042	27.535	250
Brewer	0.042	27.577	251
Hoffman	0.042	27.619	252
Carlson	0.042	27.661	253
Silva	0.042	27.703	254
Pearson	0.042	27.744	255
Holland	0.042	27.786	256
Douglas	0.041	27.827	257
Fleming	0.041	27.868	258
Jensen	0.041	27.909	259
Vargas	0.041	27.95	260
Byrd	0.041	27.991	261
Davidson	0.041	28.032	262
Hopkins	0.041	28.072	263
May	0.04	28.113	264
Terry	0.04	28.153	265
Herrera	0.04	28.193	266
Wade	0.04	28.233	267
Soto	0.04	28.273	268
Walters	0.04	28.313	269
Curtis	0.04	28.352	270
Neal	0.039	28.392	271
Caldwell	0.039	28.431	272
Lowe	0.039	28.471	273
Jennings	0.039	28.51	274
Barnett	0.039	28.549	275
Graves	0.039	28.588	276
Jimenez	0.039	28.628	277
Horton	0.039	28.667	278
Shelton	0.039	28.706	279
Barrett	0.039	28.745	280
Obrien	0.039	28.783	281
Castro	0.039	28.822	282
Sutton	0.038	28.86	283
Gregory	0.038	28.899	284
Mckinney	0.038	28.937	285
Lucas	0.038	28.975	286
Miles	0.038	29.013	287
Craig	0.038	29.051	288
Rodriquez	0.037	29.088	289
Chambers	0.037	29.126	290
Holt	0.037	29.163	291
Lambert	0.037	29.2	292
Fletcher	0.037	29.237	293
Watts	0.037	29.274	294
Bates	0.037	29.311	295
Hale	0.037	29.348	296
Rhodes	0.037	29.385	297
Pena	0.037	29.421	298
Beck	0.037	29.458	299
Newman	0.036	29.494	300
Haynes	0.036	29.531	301
Mcdaniel	0.036	29.567	302
Mendez	0.036	29.603	303
Bush	0.036	29.639	304
Vaughn	0.036	29.675	305
Parks	0.035	29.711	306
Dawson	0.035	29.746	307
Santiago	0.035	29.781	308
Norris	0.035	29.817	309
Hardy	0.035	29.852	310
Love	0.035	29.887	311
Steele	0.035	29.921	312
Curry	0.035	29.956	313
Powers	0.035	29.991	314
Schultz	0.035	30.025	315
Barker	0.035	30.06	316
Guzman	0.034	30.094	317
Page	0.034	30.129	318
Munoz	0.034	30.163	319
Ball	0.034	30.197	320
Keller	0.034	30.231	321
Chandler	0.034	30.265	322
Weber	0.034	30.299	323
Leonard	0.034	30.333	324
Walsh	0.033	30.366	325
Lyons	0.033	30.4	326
Ramsey	0.033	30.433	327
Wolfe	0.033	30.466	328
Schneider	0.033	30.499	329
Mullins	0.033	30.532	330
Benson	0.033	30.565	331
Sharp	0.033	30.598	332
Bowen	0.033	30.631	333
Daniel	0.033	30.663	334
Barber	0.032	30.696	335
Cummings	0.032	30.728	336
Hines	0.032	30.76	337
Baldwin	0.032	30.793	338
Griffith	0.032	30.824	339
Valdez	0.032	30.856	340
Hubbard	0.032	30.888	341
Salazar	0.032	30.92	342
Reeves	0.032	30.951	343
Warner	0.031	30.983	344
Stevenson	0.031	31.014	345
Burgess	0.031	31.045	346
Santos	0.031	31.076	347
Tate	0.031	31.107	348
Cross	0.031	31.138	349
Garner	0.031	31.169	350
Mann	0.031	31.2	351
Mack	0.031	31.231	352
Moss	0.031	31.262	353
Thornton	0.031	31.292	354
Dennis	0.031	31.323	355
Mcgee	0.031	31.354	356
Farmer	0.03	31.384	357
Delgado	0.03	31.415	358
Aguilar	0.03	31.445	359
Vega	0.03	31.475	360
Glover	0.03	31.505	361
Manning	0.03	31.535	362
Cohen	0.03	31.566	363
Harmon	0.03	31.596	364
Rodgers	0.03	31.626	365
Robbins	0.03	31.656	366
Newton	0.03	31.686	367
Todd	0.03	31.716	368
Blair	0.03	31.746	369
Higgins	0.03	31.776	370
Ingram	0.03	31.806	371
Reese	0.03	31.836	372
Cannon	0.03	31.865	373
Strickland	0.03	31.895	374
Townsend	0.03	31.925	375
Potter	0.03	31.955	376
Goodwin	0.03	31.984	377
Walton	0.03	32.014	378
Rowe	0.029	32.043	379
Hampton	0.029	32.073	380
Ortega	0.029	32.102	381
Patton	0.029	32.131	382
Swanson	0.029	32.161	383
Joseph	0.029	32.19	384
Francis	0.029	32.219	385
Goodman	0.029	32.248	386
Maldonado	0.029	32.277	387
Yates	0.029	32.305	388
Becker	0.029	32.334	389
Erickson	0.029	32.363	390
Hodges	0.029	32.392	391
Rios	0.029	32.421	392
Conner	0.029	32.449	393
Adkins	0.029	32.478	394
Webster	0.028	32.506	395
Norman	0.028	32.535	396
Malone	0.028	32.563	397
Hammond	0.028	32.591	398
Flowers	0.028	32.62	399
Cobb	0.028	32.648	400
Moody	0.028	32.676	401
Quinn	0.028	32.704	402
Blake	0.028	32.732	403
Maxwell	0.028	32.759	404
Pope	0.028	32.787	405
Floyd	0.027	32.814	406
Osborne	0.027	32.842	407
Paul	0.027	32.869	408
Mccarthy	0.027	32.896	409
Guerrero	0.027	32.924	410
Lindsey	0.027	32.951	411
Estrada	0.027	32.978	412
Sandoval	0.027	33.005	413
Gibbs	0.027	33.032	414
Tyler	0.027	33.059	415
Gross	0.027	33.086	416
Fitzgerald	0.027	33.113	417
Stokes	0.027	33.14	418
Doyle	0.027	33.167	419
Sherman	0.027	33.193	420
Saunders	0.027	33.22	421
Wise	0.027	33.247	422
Colon	0.027	33.274	423
Gill	0.027	33.3	424
Alvarado	0.027	33.327	425
Greer	0.026	33.353	426
Padilla	0.026	33.38	427
Simon	0.026	33.406	428
Waters	0.026	33.432	429
Nunez	0.026	33.459	430
Ballard	0.026	33.485	431
Schwartz	0.026	33.511	432
Mcbride	0.026	33.536	433
Houston	0.026	33.562	434
Christensen	0.026	33.588	435
Klein	0.026	33.614	436
Pratt	0.026	33.64	437
Briggs	0.026	33.666	438
Parsons	0.026	33.692	439
Mclaughlin	0.026	33.717	440
Zimmerman	0.026	33.743	441
French	0.026	33.769	442
Buchanan	0.026	33.794	443
Moran	0.026	33.82	444
Copeland	0.025	33.845	445
Roy	0.025	33.871	446
Pittman	0.025	33.896	447
Brady	0.025	33.922	448
Mccormick	0.025	33.947	449
Holloway	0.025	33.972	450
Brock	0.025	33.998	451
Poole	0.025	34.023	452
Frank	0.025	34.048	453
Logan	0.025	34.073	454
Owen	0.025	34.098	455
Bass	0.025	34.122	456
Marsh	0.025	34.147	457
Drake	0.025	34.172	458
Wong	0.025	34.197	459
Jefferson	0.025	34.221	460
Park	0.025	34.246	461
Morton	0.025	34.271	462
Abbott	0.025	34.295	463
Sparks	0.025	34.32	464
Patrick	0.024	34.344	465
Norton	0.024	34.369	466
Huff	0.024	34.393	467
Clayton	0.024	34.417	468
Massey	0.024	34.442	469
Lloyd	0.024	34.466	470
Figueroa	0.024	34.49	471
Carson	0.024	34.514	472
Bowers	0.024	34.538	473
Roberson	0.024	34.563	474
Barton	0.024	34.587	475
Tran	0.024	34.611	476
Lamb	0.024	34.635	477
Harrington	0.024	34.659	478
Casey	0.024	34.683	479
Boone	0.024	34.706	480
Cortez	0.024	34.73	481
Clarke	0.024	34.754	482
Mathis	0.024	34.778	483
Singleton	0.024	34.801	484
Wilkins	0.024	34.825	485
Cain	0.024	34.849	486
Bryan	0.024	34.872	487
Underwood	0.024	34.896	488
Hogan	0.024	34.92	489
Mckenzie	0.023	34.943	490
Collier	0.023	34.966	491
Luna	0.023	34.99	492
Phelps	0.023	35.013	493
Mcguire	0.023	35.036	494
Allison	0.023	35.059	495
Bridges	0.023	35.083	496
Wilkerson	0.023	35.106	497
Nash	0.023	35.129	498
Summers	0.023	35.152	499
Atkins	0.023	35.175	500
Wilcox	0.023	35.198	501
Pitts	0.023	35.221	502
Conley	0.023	35.244	503
Marquez	0.023	35.267	504
Burnett	0.023	35.29	505
Richard	0.023	35.313	506
Cochran	0.023	35.335	507
Chase	0.023	35.358	508
Davenport	0.023	35.381	509
Hood	0.023	35.404	510
Gates	0.023	35.427	511
Clay	0.023	35.449	512
Ayala	0.023	35.472	513
Sawyer	0.023	35.495	514
Roman	0.023	35.517	515
Vazquez	0.023	35.54	516
Dickerson	0.023	35.562	517
Hodge	0.022	35.585	518
Acosta	0.022	35.607	519
Flynn	0.022	35.63	520
Espinoza	0.022	35.652	521
Nicholson	0.022	35.675	522
Monroe	0.022	35.697	523
Wolf	0.022	35.719	524
Morrow	0.022	35.741	525
Kirk	0.022	35.763	526
Randall	0.022	35.785	527
Anthony	0.022	35.807	528
Whitaker	0.022	35.829	529
Oconnor	0.022	35.851	530
Skinner	0.022	35.873	531
Ware	0.022	35.895	532
Molina	0.022	35.916	533
Kirby	0.022	35.938	534
Huffman	0.022	35.96	535
Bradford	0.022	35.982	536
Charles	0.022	36.003	537
Gilmore	0.022	36.025	538
Dominguez	0.022	36.046	539
Oneal	0.022	36.068	540
Bruce	0.022	36.09	541
Lang	0.021	36.111	542
Combs	0.021	36.132	543
Kramer	0.021	36.154	544
Heath	0.021	36.175	545
Hancock	0.021	36.196	546
Gallagher	0.021	36.218	547
Gaines	0.021	36.239	548
Shaffer	0.021	36.26	549
Short	0.021	36.281	550
Wiggins	0.021	36.302	551
Mathews	0.021	36.323	552
Mcclain	0.021	36.344	553
Fischer	0.021	36.365	554
Wall	0.021	36.386	555
Small	0.021	36.407	556
Melton	0.021	36.428	557
Hensley	0.021	36.449	558
Bond	0.021	36.47	559
Dyer	0.021	36.491	560
Cameron	0.021	36.511	561
Grimes	0.021	36.532	562
Contreras	0.021	36.553	563
Christian	0.021	36.573	564
Wyatt	0.021	36.594	565
Baxter	0.021	36.615	566
Snow	0.021	36.635	567
Mosley	0.021	36.656	568
Shepherd	0.021	36.677	569
Larsen	0.021	36.697	570
Hoover	0.021	36.718	571
Beasley	0.02	36.738	572
Glenn	0.02	36.758	573
Petersen	0.02	36.779	574
Whitehead	0.02	36.799	575
Meyers	0.02	36.819	576
Keith	0.02	36.84	577
Garrison	0.02	36.86	578
Vincent	0.02	36.88	579
Shields	0.02	36.9	580
Horn	0.02	36.92	581
Savage	0.02	36.941	582
Olsen	0.02	36.961	583
Schroeder	0.02	36.981	584
Hartman	0.02	37.001	585
Woodard	0.02	37.021	586
Mueller	0.02	37.041	587
Kemp	0.02	37.061	588
Deleon	0.02	37.081	589
Booth	0.02	37.101	590
Patel	0.02	37.121	591
Calhoun	0.02	37.14	592
Wiley	0.02	37.16	593
Eaton	0.02	37.18	594
Cline	0.02	37.2	595
Navarro	0.02	37.22	596
Harrell	0.02	37.24	597
Lester	0.02	37.259	598
Humphrey	0.02	37.279	599
Parrish	0.02	37.299	600
Duran	0.02	37.318	601
Hutchinson	0.02	37.338	602
Hess	0.02	37.358	603
Dorsey	0.02	37.377	604
Bullock	0.02	37.397	605
Robles	0.02	37.416	606
Beard	0.019	37.436	607
Dalton	0.019	37.455	608
Avila	0.019	37.475	609
Vance	0.019	37.494	610
Rich	0.019	37.514	611
Blackwell	0.019	37.533	612
York	0.019	37.552	613
Johns	0.019	37.572	614
Blankenship	0.019	37.591	615
Trevino	0.019	37.61	616
Salinas	0.019	37.63	617
Campos	0.019	37.649	618
Pruitt	0.019	37.668	619
Moses	0.019	37.688	620
Callahan	0.019	37.707	621
Golden	0.019	37.726	622
Montoya	0.019	37.745	623
Hardin	0.019	37.764	624
Guerra	0.019	37.783	625
Mcdowell	0.019	37.802	626
Carey	0.019	37.821	627
Stafford	0.019	37.84	628
Gallegos	0.019	37.859	629
Henson	0.019	37.878	630
Wilkinson	0.019	37.897	631
Booker	0.019	37.916	632
Merritt	0.019	37.935	633
Miranda	0.019	37.953	634
Atkinson	0.019	37.972	635
Orr	0.019	37.991	636
Decker	0.019	38.01	637
Hobbs	0.019	38.028	638
Preston	0.019	38.047	639
Tanner	0.019	38.066	640
Knox	0.019	38.084	641
Pacheco	0.019	38.103	642
Stephenson	0.018	38.121	643
Glass	0.018	38.14	644
Rojas	0.018	38.158	645
Serrano	0.018	38.176	646
Marks	0.018	38.195	647
Hickman	0.018	38.213	648
English	0.018	38.231	649
Sweeney	0.018	38.249	650
Strong	0.018	38.267	651
Prince	0.018	38.285	652
Mcclure	0.018	38.304	653
Conway	0.018	38.322	654
Walter	0.018	38.34	655
Roth	0.018	38.358	656
Maynard	0.018	38.376	657
Farrell	0.018	38.394	658
Lowery	0.018	38.411	659
Hurst	0.018	38.429	660
Nixon	0.018	38.447	661
Weiss	0.018	38.465	662
Trujillo	0.018	38.483	663
Ellison	0.018	38.5	664
Sloan	0.018	38.518	665
Juarez	0.018	38.536	666
Winters	0.018	38.553	667
Mclean	0.018	38.571	668
Randolph	0.018	38.588	669
Leon	0.018	38.606	670
Boyer	0.018	38.624	671
Villarreal	0.018	38.641	672
Mccall	0.018	38.659	673
Gentry	0.018	38.676	674
Carrillo	0.017	38.694	675
Kent	0.017	38.711	676
Ayers	0.017	38.729	677
Lara	0.017	38.746	678
Shannon	0.017	38.763	679
Sexton	0.017	38.781	680
Pace	0.017	38.798	681
Hull	0.017	38.815	682
Leblanc	0.017	38.833	683
Browning	0.017	38.85	684
Velasquez	0.017	38.867	685
Leach	0.017	38.884	686
Chang	0.017	38.901	687
House	0.017	38.918	688
Sellers	0.017	38.936	689
Herring	0.017	38.953	690
Noble	0.017	38.97	691
Foley	0.017	38.987	692
Bartlett	0.017	39.004	693
Mercado	0.017	39.021	694
Landry	0.017	39.037	695
Durham	0.017	39.054	696
Walls	0.017	39.071	697
Barr	0.017	39.088	698
Mckee	0.017	39.105	699
Bauer	0.017	39.122	700
Rivers	0.017	39.139	701
Everett	0.017	39.155	702
Bradshaw	0.017	39.172	703
Pugh	0.017	39.189	704
Velez	0.017	39.206	705
Rush	0.017	39.222	706
Estes	0.017	39.239	707
Dodson	0.017	39.255	708
Morse	0.017	39.272	709
Sheppard	0.017	39.289	710
Weeks	0.017	39.305	711
Camacho	0.017	39.322	712
Bean	0.017	39.338	713
Barron	0.017	39.355	714
Livingston	0.017	39.371	715
Middleton	0.016	39.388	716
Spears	0.016	39.404	717
Branch	0.016	39.42	718
Blevins	0.016	39.437	719
Chen	0.016	39.453	720
Kerr	0.016	39.469	721
Mcconnell	0.016	39.486	722
Hatfield	0.016	39.502	723
Harding	0.016	39.518	724
Ashley	0.016	39.535	725
Solis	0.016	39.551	726
Herman	0.016	39.567	727
Frost	0.016	39.583	728
Giles	0.016	39.599	729
Blackburn	0.016	39.616	730
William	0.016	39.632	731
Pennington	0.016	39.648	732
Woodward	0.016	39.664	733
Finley	0.016	39.68	734
Mcintosh	0.016	39.696	735
Koch	0.016	39.713	736
Best	0.016	39.729	737
Solomon	0.016	39.745	738
Mccullough	0.016	39.761	739
Dudley	0.016	39.777	740
Nolan	0.016	39.793	741
Blanchard	0.016	39.809	742
Rivas	0.016	39.825	743
Brennan	0.016	39.841	744
Mejia	0.016	39.856	745
Kane	0.016	39.872	746
Benton	0.016	39.888	747
Joyce	0.016	39.904	748
Buckley	0.016	39.92	749
Haley	0.016	39.936	750
Valentine	0.016	39.952	751
Maddox	0.016	39.967	752
Russo	0.016	39.983	753
Mcknight	0.016	39.999	754
Buck	0.016	40.015	755
Moon	0.016	40.03	756
Mcmillan	0.016	40.046	757
Crosby	0.016	40.062	758
Berg	0.016	40.077	759
Dotson	0.016	40.093	760
Mays	0.016	40.109	761
Roach	0.016	40.124	762
Church	0.016	40.14	763
Chan	0.016	40.155	764
Richmond	0.016	40.171	765
Meadows	0.016	40.187	766
Faulkner	0.016	40.202	767
Oneill	0.016	40.218	768
Knapp	0.016	40.233	769
Kline	0.015	40.248	770
Barry	0.015	40.264	771
Ochoa	0.015	40.279	772
Jacobson	0.015	40.295	773
Gay	0.015	40.31	774
Avery	0.015	40.326	775
Hendricks	0.015	40.341	776
Horne	0.015	40.356	777
Shepard	0.015	40.372	778
Hebert	0.015	40.387	779
Cherry	0.015	40.402	780
Cardenas	0.015	40.418	781
Mcintyre	0.015	40.433	782
Whitney	0.015	40.448	783
Waller	0.015	40.463	784
Holman	0.015	40.478	785
Donaldson	0.015	40.494	786
Cantu	0.015	40.509	787
Terrell	0.015	40.524	788
Morin	0.015	40.539	789
Gillespie	0.015	40.555	790
Fuentes	0.015	40.57	791
Tillman	0.015	40.585	792
Sanford	0.015	40.6	793
Bentley	0.015	40.615	794
Peck	0.015	40.63	795
Key	0.015	40.645	796
Salas	0.015	40.66	797
Rollins	0.015	40.676	798
Gamble	0.015	40.691	799
Dickson	0.015	40.706	800
Battle	0.015	40.721	801
Santana	0.015	40.736	802
Cabrera	0.015	40.751	803
Cervantes	0.015	40.766	804
Howe	0.015	40.781	805
Hinton	0.015	40.796	806
Hurley	0.015	40.811	807
Spence	0.015	40.825	808
Zamora	0.015	40.84	809
Yang	0.015	40.855	810
Mcneil	0.015	40.87	811
Suarez	0.015	40.885	812
Case	0.015	40.9	813
Petty	0.015	40.915	814
Gould	0.015	40.929	815
Mcfarland	0.015	40.944	816
Sampson	0.015	40.959	817
Carver	0.015	40.974	818
Bray	0.015	40.989	819
Rosario	0.015	41.003	820
Macdonald	0.015	41.018	821
Stout	0.015	41.033	822
Hester	0.015	41.047	823
Melendez	0.015	41.062	824
Dillon	0.015	41.077	825
Farley	0.015	41.091	826
Hopper	0.015	41.106	827
Galloway	0.015	41.121	828
Potts	0.015	41.135	829
Bernard	0.015	41.15	830
Joyner	0.014	41.164	831
Stein	0.014	41.179	832
Aguirre	0.014	41.193	833
Osborn	0.014	41.208	834
Mercer	0.014	41.222	835
Bender	0.014	41.236	836
Franco	0.014	41.251	837
Rowland	0.014	41.265	838
Sykes	0.014	41.28	839
Benjamin	0.014	41.294	840
Travis	0.014	41.308	841
Pickett	0.014	41.323	842
Crane	0.014	41.337	843
Sears	0.014	41.351	844
Mayo	0.014	41.365	845
Dunlap	0.014	41.379	846
Hayden	0.014	41.394	847
Wilder	0.014	41.408	848
Mckay	0.014	41.422	849
Coffey	0.014	41.436	850
Mccarty	0.014	41.45	851
Ewing	0.014	41.464	852
Cooley	0.014	41.478	853
Vaughan	0.014	41.492	854
Bonner	0.014	41.506	855
Cotton	0.014	41.52	856
Holder	0.014	41.534	857
Stark	0.014	41.548	858
Ferrell	0.014	41.562	859
Cantrell	0.014	41.575	860
Fulton	0.014	41.589	861
Lynn	0.014	41.603	862
Lott	0.014	41.617	863
Calderon	0.014	41.631	864
Rosa	0.014	41.644	865
Pollard	0.014	41.658	866
Hooper	0.014	41.672	867
Burch	0.014	41.686	868
Mullen	0.014	41.7	869
Fry	0.014	41.713	870
Riddle	0.014	41.727	871
Levy	0.014	41.741	872
David	0.014	41.754	873
Duke	0.014	41.768	874
Odonnell	0.014	41.782	875
Guy	0.014	41.795	876
Michael	0.014	41.809	877
Britt	0.014	41.823	878
Frederick	0.014	41.836	879
Daugherty	0.014	41.85	880
Berger	0.014	41.864	881
Dillard	0.014	41.877	882
Alston	0.014	41.891	883
Jarvis	0.014	41.904	884
Frye	0.014	41.918	885
Riggs	0.014	41.932	886
Chaney	0.014	41.945	887
Odom	0.013	41.959	888
Duffy	0.013	41.972	889
Fitzpatrick	0.013	41.986	890
Valenzuela	0.013	41.999	891
Merrill	0.013	42.012	892
Mayer	0.013	42.026	893
Alford	0.013	42.039	894
Mcpherson	0.013	42.053	895
Acevedo	0.013	42.066	896
Donovan	0.013	42.079	897
Barrera	0.013	42.093	898
Albert	0.013	42.106	899
Cote	0.013	42.119	900
Reilly	0.013	42.133	901
Compton	0.013	42.146	902
Raymond	0.013	42.159	903
Mooney	0.013	42.173	904
Mcgowan	0.013	42.186	905
Craft	0.013	42.199	906
Cleveland	0.013	42.212	907
Clemons	0.013	42.226	908
Wynn	0.013	42.239	909
Nielsen	0.013	42.252	910
Baird	0.013	42.265	911
Stanton	0.013	42.278	912
Snider	0.013	42.292	913
Rosales	0.013	42.305	914
Bright	0.013	42.318	915
Witt	0.013	42.331	916
Stuart	0.013	42.344	917
Hays	0.013	42.357	918
Holden	0.013	42.371	919
Rutledge	0.013	42.384	920
Kinney	0.013	42.397	921
Clements	0.013	42.41	922
Castaneda	0.013	42.423	923
Slater	0.013	42.436	924
Hahn	0.013	42.449	925
Emerson	0.013	42.462	926
Conrad	0.013	42.475	927
Burks	0.013	42.488	928
Delaney	0.013	42.501	929
Pate	0.013	42.514	930
Lancaster	0.013	42.527	931
Sweet	0.013	42.54	932
Justice	0.013	42.552	933
Tyson	0.013	42.565	934
Sharpe	0.013	42.578	935
Whitfield	0.013	42.591	936
Talley	0.013	42.604	937
Macias	0.013	42.617	938
Irwin	0.013	42.629	939
Burris	0.013	42.642	940
Ratliff	0.013	42.655	941
Mccray	0.013	42.668	942
Madden	0.013	42.681	943
Kaufman	0.013	42.693	944
Beach	0.013	42.706	945
Goff	0.013	42.719	946
